TITLE,ARTIST,RELEASE,BPM,ENERGY,DANCE,LOUD,VALENCE,LENGTH,ACOUSTIC,POP
Everybody,Logic,2017,110,94,89,-6,77,162.0,16,68
Everything I Am,Kanye West,2007,80,63,59,-7,73,227.999999952,46,22
Excuse Me,A$AP Rocky,2015,122,71,65,-8,41,238.000000032,33,62
"F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar)",A$AP Rocky,2013,96,69,87,-7,67,234.0,2,20
Fashion Killa,A$AP Rocky,2013,140,82,79,-5,79,236.000000016,32,11
Father Stretch My Hands Pt. 1,Kanye West,2016,113,57,72,-4,38,135.9999999936,14,0
Flashing Lights,Kanye West,2007,90,65,63,-8,51,238.000000032,3,30
For The Love,GRiZ,2015,90,82,54,-5,50,281.000000016,24,31
Foreplay,Jalen Santoy,2016,119,32,79,-7,54,171.0,14,58
Get Right Witcha,Migos,2017,137,74,95,-6,62,258.000000048,6,65
Going Back To Cali,The Notorious B.I.G.,1997,99,55,88,-8,57,306.999999936,18,1
Gold Soul Theory,The Underachievers,2013,79,79,52,-5,63,184.000000032,19,48
Goldie,A$AP Rocky,2013,82,84,68,-5,74,191.999999952,22,11
Good Grief (feat. Diamante),Flatbush Zombies,2016,135,39,73,-10,40,270.99999993600005,11,46
goosebumps,Travis Scott,2016,130,73,84,-3,43,243.999999936,8,81
Grab Her Hand,Michael Christmas,2015,127,54,82,-6,84,272.999999952,33,40
Growing Pains,Ludacris,2001,84,71,72,-6,73,288.999999936,5,1
Halftime,Nas,1994,92,79,77,-7,65,261.0,3,58
Hate,Michael Christmas,2015,83,61,80,-6,79,197.00000006400003,1,28
Helicopter,Antwon,2011,174,90,39,-5,60,236.999999952,36,29
Hey Ya! - Radio Mix / Club Mix,OutKast,2003,80,97,72,-2,96,234.999999936,6,19
Hypnotize,The Notorious B.I.G.,1997,94,57,92,-5,66,229.99999996800003,13,7
I Got a Story to Tell,The Notorious B.I.G.,1997,94,70,88,-8,56,283.00000003200006,23,41
I'm so Groovy,Future,2017,138,48,94,-10,39,261.999999936,4,13
I've Seen Footage,Death Grips,2012,130,94,60,-4,42,202.999999968,5,54
If I Ruled the World (Imagine That) (feat. Lauryn Hill),Nas,1996,94,56,88,-8,52,281.999999952,5,67
In the Morning,J. Cole,2011,83,67,44,-11,48,234.0,76,4
It Ain't Hard to Tell,Nas,1994,91,73,69,-6,36,202.000000032,0,58
It Was A Good Day,Ice Cube,1992,82,75,80,-5,80,260.00000006399995,32,71
Jazz,Mick Jenkins,2014,125,61,64,-10,30,260.00000006399995,25,60
Juicy,The Notorious B.I.G.,1994,96,82,89,-5,78,303.000000048,47,75
Jumpman,Drake,2015,142,55,85,-7,66,206.000000064,6,72
Knock On Wood,DJ Hotday,2010,105,65,83,-13,75,134.0000000064,7,35
Know Me From,Stormzy,2015,185,73,50,-9,78,193.99999996800003,40,0
L$D,A$AP Rocky,2015,120,25,60,-15,4,238.000000032,19,71
The L.A. Song,People Under The Stairs,2003,91,91,84,-3,73,267.000000048,9,41
Legend Has It,Run The Jewels,2016,121,56,83,-7,47,206.000000064,3,57
Let Me Blow Ya Mind,Eve,2001,90,54,91,-4,87,229.99999996800003,24,69
Life's a Bitch (feat. AZ & Olu Dara),Nas,1994,90,73,78,-5,34,211.00000003199997,0,55
m.A.A.d city,Kendrick Lamar,2012,91,73,49,-7,22,350.00000006399995,5,62
Mask Off,Future,2017,150,43,83,-9,28,204.999999984,1,45
"Me, Myself & I",G-Eazy,2015,112,67,76,-7,38,251.000000064,2,74
Memory Lane (Sittin' in da Park),Nas,1994,90,84,65,-4,62,247.999999968,31,52
The Message,Nas,1996,178,54,61,-7,49,234.0,1,61
Metronome (feat. Wiki),Antwon,2014,100,67,71,-8,19,157.00000003199997,0,17
Mo Money Mo Problems (feat. Mase & Puff Daddy),The Notorious B.I.G.,1997,104,87,86,-5,92,252.99999993600002,3,9
Money Trees,Kendrick Lamar,2012,72,53,72,-7,34,387.0,7,60
Ms. Jackson,OutKast,2000,95,81,84,-6,62,270.99999993600005,14,75
N.Y. State of Mind,Nas,1994,84,91,67,-5,89,294.00000004800006,4,62
Next Levels,King Geedorah,2003,93,56,73,-11,90,229.000000032,65,47
Nice Guys Finish Thirst,Name UL,2016,119,84,48,-8,83,211.00000003199997,3,29
No More Parties In LA,Kanye West,2016,92,92,48,-2,71,373.99999996799994,24,0
No Role Modelz,J. Cole,2014,100,52,70,-8,46,292.999999968,30,79
No Tellin',Drake,2015,95,48,83,-10,56,310.999999968,54,60
Notorious Thugs,The Notorious B.I.G.,1997,155,74,76,-7,74,368.000000064,16,2
O Heaven,Blu,2012,90,72,46,-7,73,200.000000016,13,2
Old Thing Back (feat. Ja Rule and Ralph Tresvant),Matoma,2015,97,86,81,-3,52,321.999999984,19,68
One Dance,Drake,2016,104,62,78,-6,35,173.999999952,1,6
One Love (feat. Q-Tip),Nas,1994,93,69,77,-7,81,326.000000016,22,51
One Night,Lil Yachty,2016,130,48,76,-13,38,243.00000000000003,37,69
Only One,Kanye West,2015,102,25,72,-6,13,279.99999993600005,94,57
Otha Fish,The Pharcyde,1992,77,85,76,-8,94,321.999999984,11,0
Passin' Me By,The Pharcyde,1992,87,76,76,-8,56,303.000000048,8,1
Phoenix,A$AP Rocky,2013,144,51,65,-11,50,234.0,58,7
Pick Up The Phone (feat. Quavo),Young Thug,2016,137,72,71,-4,46,251.99999999999997,12,1
Poetic Justice,Kendrick Lamar,2012,136,57,78,-10,65,299.999999952,16,64
POWER,Kanye West,2010,154,92,54,-5,58,292.000000032,2,75
Pt. 2,Kanye West,2016,145,73,62,-4,27,130.00000000319997,55,0
Push It Along,A Tribe Called Quest,1990,95,70,54,-8,62,454.000000032,33,37
RAF,A$AP Mob,2017,134,66,85,-6,33,254.99999995199997,52,64
Rain Song (feat. Lil Ugly Mane),Antwon,2014,113,81,49,-7,14,353.000000016,2,25
Represent,Nas,1994,92,83,70,-5,62,252.99999993600002,2,54
Rhymes Like Dimes,MF DOOM,2011,200,76,49,-6,79,258.999999984,66,0
Runnin',The Pharcyde,1995,94,78,76,-8,84,296.000000064,3,10
She Said,The Pharcyde,1995,79,69,79,-7,61,315.99999993600005,10,47
"Shook Ones, Pt. II",Mobb Deep,1995,94,79,76,-6,50,326.000000016,1,72
Shut Up - Studio Version,Stormzy,2015,87,67,46,-10,95,180.999999936,83,1
"Sing About Me, I'm Dying Of Thirst",Kendrick Lamar,2012,111,75,65,-8,37,724.000000032,30,56
The Single,Jonwayne,2017,138,65,42,-9,40,99.9999999936,2,0
Sittin in Hell,Antwon,2012,136,92,62,-3,32,225.999999936,54,30
Smoke Break (Interlude),Flatbush Zombies,2016,100,32,71,-16,12,123.9999999984,67,48
"So Fresh, So Clean",OutKast,2000,166,64,73,-8,92,240.000000048,3,63
So It Goes,RATKING,2014,130,94,53,-4,48,332.000000064,2,24
A Spike Lee Joint (feat. Anthony Flammia),Flatbush Zombies,2016,106,51,79,-12,48,254.99999995199997,14,49
Stronger,Kanye West,2007,104,73,63,-8,48,312.000000048,1,37
Summer,Raf Riley,2015,142,54,91,-4,74,162.999999936,52,35
Summers Over Interlude,Drake,2016,132,28,69,-9,32,105.9999999984,33,55
Superstar (feat. Matthew Santos),Lupe Fiasco,2007,95,82,57,-6,47,288.999999936,21,63
Surviving the Times,Nas,2007,96,60,75,-8,35,283.999999968,4,34
Swimming Pools (Drank),Kendrick Lamar,2012,74,45,58,-6,19,247.999999968,1,68
T-Shirt,Migos,2017,139,69,87,-4,49,242.00000006399998,24,46
Take It Back,Logic,2017,135,84,84,-4,69,400.000000032,6,59
THat Part,ScHoolboy Q,2016,113,54,93,-8,34,314.00000006399995,9,64
That's That,MF DOOM,2009,96,73,50,-5,85,135.0,24,0
Touch The Sky,Kanye West,2005,106,85,60,-5,55,236.000000016,2,64
Trade-Off,Flatbush Zombies,2016,140,45,86,-9,15,249.00000004800003,4,52
Tuesday (feat. Drake),ILOVEMAKONNEN,2014,140,67,78,-6,45,321.999999984,19,36
Ultralight Beam,Kanye West,2016,106,40,59,-9,36,321.000000048,63,0
untitled 02 | 06.23.2014.,Kendrick Lamar,2016,85,51,53,-10,10,258.999999984,34,58
untitled 03 | 05.28.2013.,Kendrick Lamar,2016,104,55,83,-12,55,153.999999936,59,52
Versace (Remix),Migos,2015,132,71,85,-4,33,245.99999995199997,2,60
Wet Dreamz,J. Cole,2014,175,71,50,-8,58,238.99999996800003,8,75
When I B On Tha Mic,Rakim,1999,96,49,84,-7,80,222.999999984,5,64
Wild for the Night (feat. Skrillex & Birdy Nam Nam),A$AP Rocky,2013,140,86,76,-4,69,213.000000048,5,15
Work Out,J. Cole,2011,93,43,83,-7,22,234.999999936,5,9
The World Is Yours,Nas,1994,87,79,68,-6,54,290.99999995199994,27,58
Xxplosive,Dr. Dre,1999,169,88,78,-4,93,215.000000064,20,62
Yamborghini High,A$AP Mob,2016,138,77,84,-6,64,301.99999996799994,3,67
Your Favorite Rap Song,Flatbush Zombies,2016,78,62,48,-10,55,780.000000048,90,46
Youthful Expression,A Tribe Called Quest,1990,109,58,87,-7,48,292.999999968,5,37
